icpsr2,year,alpha_st,anti_inst,policy,pos_affect,posAffPer,neg_affect,num_tweets,dist,congress,nominate_dim1,nominate_dim2,democrat,seniority,st,op_ideo,pid7,ideo5,white,hispanic,educ,faminc,unionmember,approval_pres,approval_rep,count,name,pop,college,ageless18,age65plus,poverty,black,white_acs,hispanic_acs,unemp_clf,armedforces,nilf,medinc,gini,foreignborn,Incumbent,Party,Biden,Trump20,Clinton,Trump16,Obama,Romney,dempvote20,dempvote16,dempvote12,namedem12016,votesdem12016,namedem22016,votesdem22016,namerep12016,votesrep12016,namerep22016,votesrep22016,totalvotes2016,namedem12018,votesdem12018,namedem22018,votesdem22018,namerep12018,votesrep12018,namerep22018,votesrep22018,totalvotes2018,namedem12020,votesdem12020,namedem22020,votesdem22020,namerep12020,votesrep12020,namerep22020,votesrep22020,totalvotes2020,demHvote2016,uncontested2016,demHvote2018,uncontested2018,demHvote2020,uncontested2020,incumbentD2016,incumbloseD2016,runoffD2016,PRIMARYD2016,GENERALD2016,wongeneralD2016,numcandsD2016,incumbentR2016,incumbloseR2016,runoffR2016,PRIMARYR2016,GENERALR2016,wongeneralR2016,numcandsR2016,incumbentD2018,incumbloseD2018,runoffD2018,PRIMARYD2018,GENERALD2018,wongeneralD2018,numcandsD2018,incumbentR2018,incumbloseR2018,runoffR2018,PRIMARYR2018,GENERALR2018,wongeneralR2018,numcandsR2018,incumbentD2020,incumbloseD2020,runoffD2020,PRIMARYD2020,GENERALD2020,wongeneralD2020,numcandsD2020,incumbentR2020,incumbloseR2020,runoffR2020,PRIMARYR2020,GENERALR2020,wongeneralR2020,numcandsR2020,primaryvote2016,primarychall2016,primaryvote2018,primarychall2018,primaryvote2020,primarychall2020,primvote,primchal,demHvote2016_2,demHvote2018_2,demHvote2020_2,dempvote16_2,trumpy,demHvote,dem_normal,economic,y1,y2,y3,y4,y5,y6,y7,affect
14066,2017,AK,1,0.7068965517,2,0.03448275862,2,58,1,115,0.283,0.022,0,23,AK,0.23788892,4.111225844,3.087924307,0.86852932,0.03892446004,0.3767855266,5.897470823,0.54781371,3.039689003,3.042506704,33,"Congressional District (at Large) (116th Congress), Alaska",737068,0.18323047,0.25017232,0.11204258,0.097849861,0.048753981,0.64582235,0.070373423,0.071567774,0.045256894,0.31371167,0.35957,0.42840001,0.078238368,Mary Peltola,(D),43,53.1,37.6,52.8,41.2,55.3,0.44745058,0.4159292,0.426943,STEVE LINDBECK,111019,,,DON YOUNG,155088,,,308198,ALYSE S GALVIN,131199,,,DON YOUNG,149779,,,282166,ALYSE S GALVIN,159856,,,DON YOUNG,192126,,,353165,0.41719684,0,0.46693692,0,0.45415959,0,0,,,0.6788123079,0.3602197289,0,3,1,,,0.7151921948,0.503208976,1,4,0,,,0.2326453108,,0,2,1,,,0.7084658726,0.5308187379,1,3,0,,,0.07829548568,,0,2,1,,,0.7612714223,0.5440120057,1,3,0.7151922,4,0.70846587,3,0.76127142,3,0.7151922,4,0.17405321,0.21803008,0.20626093,0.1729971,0.011013806,0.41719684,0.43010759,-0.067340292,0,1,0,0,0,0,0,0.068965517
21376,2017,AL,24,0.5760188088,42,0.0329153605,73,1276,1,115,0.61,0.25,0,3,AL,0.011861215,3.88844566,3.152762585,0.64389849,0.01557884374,0.2172368403,5.618362549,0.19993614,2.891652579,3.210963938,43,"Congressional District 1 (116th Congress), Alabama",710135,0.16312927,0.22925782,0.17340365,0.15399185,0.28246319,0.67162442,0.032269921,0.058981538,0.0029904137,0.44043529,0.26910001,0.47710001,0.030577285,Jerry Carl,(R),35.3,63.7,34.1,63.5,37.4,61.8,0.35656565,0.34938523,0.37701613,,,,,BRADLEY BYRNE,208083,,,215893,ROBERT KENNEDY JR,89226,,,BRADLEY BYRNE,153228,,,242617,JAMES AVERHART,116949,,,JERRY CARL,211825,,,329075,0,1,0.36801207,0,0.35571244,0,,,,,,,,1,,,0.6011177705,0.9638246724,1,2,0,,,0.8074935023,0.367764831,0,2,1,,,,0.6315633282,1,0,0,,1,0.4407039902,0.3553870698,0,3,0,,1,0.3869547296,0.6436982451,1,5,0.60111779,2,1,0,0.38695472,5,0.60111779,2,0,0.13543288,0.12653135,0.12207004,0.027630895,0,0.360989,-1.1920471,0,1,0,0,0,0,0,0.090125389
21192,2017,AL,23,0.5722222222,16,0.04444444444,36,360,2,115,0.362,0.658,0,4,AL,0.13557525,5.033146175,3.515995884,0.77774203,0.01392622663,0.15571564,5.669257027,0.28488141,3.436516927,3.604072268,30,"Congressional District 2 (116th Congress), Alabama",679684,0.14276384,0.22614333,0.16579764,0.16331707,0.32443017,0.63799942,0.037465941,0.059652478,0.021063605,0.4318054,0.25496,0.4711,0.028679503,Barry Moore,(R),35.1,63.9,33,64.9,36.4,62.9,0.35454544,0.33707866,0.36656597,NATHAN MATHIS,112089,,,MARTHA ROBY,134886,,,276584,TABITHA ISNER,86931,,,MARTHA ROBY,138879,,,226230,PHYLLIS HARVEY-HALL,105286,,,BARRY MOORE,197996,,,303569,0.45384756,0,0.38497409,0,0.34715545,0,0,,,,0.4052620542,0,0,1,,,0.6637061404,0.4876854771,1,3,0,,,0.6044971188,0.384259382,0,2,1,,1,0.3897601427,0.6138841003,1,5,0,,,0.5918094045,0.3468272452,0,2,0,,1,0.3805608406,0.6522273355,1,7,0.66370612,3,0.38976014,5,0.38056085,7,0.66370612,3,0.2059776,0.14820506,0.12051691,0.11362202,0.029487312,0.45384756,0.35273004,-1.6001945,0,1,0,0,0,0,0,0.14444445
20301,2017,AL,3,0.303030303,0,0,9,198,3,115,0.36,0.463,0,8,AL,0.078943968,4.122102048,3.050372542,0.74940938,0.001876525593,0.1758320063,4.640245421,0.17407359,3.047666517,2.98121148,32,"Congressional District 3 (116th Congress), Alabama",708888,0.13170411,0.21955937,0.16163062,0.15868375,0.26662886,0.693654,0.031258818,0.063107803,0.0091280043,0.43164077,0.25385001,0.4725,0.031703174,Mike Rogers,(R),33.7,65.3,32.3,65.3,36.8,62.3,0.34040403,0.33094263,0.37134209,JESSE SMITH,94549,,,MIKE ROGERS,192164,,,287104,MALLORY HAGAN,83996,,,MIKE ROGERS,147770,,,231915,ADIA WINFREY,104595,,,MIKE ROGERS,217384,,,322234,0.32976881,0,0.36241725,0,0.32485038,0,0,,,,0.329319689,0,0,1,,,0.7598374973,0.6693184351,1,2,0,,,0.6574139466,0.362184421,0,2,1,,,,0.6371731022,1,0,0,,,,0.324593308,0,0,1,,,,0.6746153416,1,0,0.75983751,2,1,0,1,0,0.75983751,2,0.10874747,0.13134627,0.10552777,0.10952303,0.040399462,0.32976881,0.34756291,-1.7502151,0,1,0,0,0,0,0,0.045454547
29701,2017,AL,3,0.3673469388,1,0.02040816327,5,49,4,115,0.38,0.576,0,11,AL,0.70300746,5.340523696,3.631517136,0.99632972,0.0008233527264,0.2175471751,5.007539359,0.33585778,3.914002309,3.346338523,39,"Congressional District 4 (116th Congress), Alabama",684757,0.10794851,0.22786331,0.18204415,0.16189101,0.077611476,0.87326598,0.066128567,0.05208509,0.00086256274,0.45668828,0.24687999,0.4637,0.037662994,Robert Aderholt,(R),17.8,81.2,17.4,80.4,24,74.8,0.17979798,0.17791411,0.24291497,,,,,ROBERT B ADERHOLT,235925,,,239444,LEE AUMAN,46492,,,ROBERT ADERHOLT,184255,,,230969,RICK NEIGHBORS,56237,,,ROBERT B ADERHOLT,261553,,,318029,0,1,0.20148474,0,0.17696278,0,,,,,,,,1,,,0.811757653,0.985303453,1,2,0,,,0.5412422985,0.2012910824,0,2,1,,,0.8147322783,0.7977477497,1,2,0,,,,0.176829786,0,0,1,,,,0.8224187102,1,0,0.81175762,2,0.81473225,2,1,0,0.81175762,2,0,0.040596101,0.031315826,0.03165343,0.065000862,0,0.20020902,-1.7199078,0,1,0,0,0,0,0,0.12244898
21193,2017,AL,6,0.3965517241,10,0.04310344828,14,232,5,115,0.646,-0.404,0,4,AL,0.39742064,5.104542307,3.763657459,0.90242338,0.0009549644031,0.2190114554,6.225815864,0.36036262,3.78536518,3.4377772,44,"Congressional District 5 (116th Congress), Alabama",720362,0.20423961,0.21912317,0.1613522,0.12568958,0.18796106,0.75660568,0.052175157,0.051428441,0.0044154408,0.39917076,0.301,0.465,0.043622512,Mo Brooks,(R),35.7,62.7,31.3,64.7,34.9,63.9,0.36280489,0.32604167,0.35323888,WILL BOYD JR,102234,,,MO BROOKS,205647,,,308326,PETER JOFFRION,101388,,,MO BROOKS,159063,,,260673,,,,,MO BROOKS,253094,,,264160,0.33205688,0,0.38927859,0,0,1,0,,,,0.3315776159,0,0,1,,,,0.6669791065,1,0,0,,,,0.3889470716,0,0,1,,,0.6125776484,0.6102012867,1,2,,,,,,,,1,,,0.7488123357,0.958108722,1,2,1,0,0.61257768,2,0.74881232,2,1,0,0.11026177,0.15153782,0,0.10630317,0.027197212,0.33205688,0.3473618,-0.049763009,0,1,0,0,0,0,0,0.10344828
21500,2017,AL,5,0.3454545455,1,0.009090909091,5,110,6,115,0.682,0.091,0,2,AL,0.13313207,3.644309314,3.320023654,0.56997079,0,0.1968028026,4.373985779,0.16888952,2.485510974,2.986679108,39,"Congressional District 6 (116th Congress), Alabama",704770,0.22920032,0.23334138,0.15843609,0.092840217,0.16505101,0.78321582,0.048394512,0.042202499,0.0020224939,0.37625706,0.35032001,0.46869999,0.046244875,Gary Palmer,(R),31.8,67,26.1,70.8,24.7,74.3,0.32186234,0.26934984,0.24949495,DAVID J PUTNAM,83709,,,GARY J PALMER,245313,,,329306,DANNER KLINE,85644,,,GARY PALMER,192542,,,278328,,,,,GARY J PALMER,274160,,,282261,0.25441763,0,0.30786595,0,0,1,0,,,,0.2541982229,0,0,1,,,,0.7449393573,1,0,0,,,,0.3077088902,0,0,1,,,,0.6917809204,1,0,,,,,,,,1,,,,0.9712996128,1,0,1,0,1,0,1,0,1,0,0.064728327,0.094781443,0,0.072549336,-0.019854888,0.25441763,0.28023571,1.1827786,0,1,0,0,0,0,0,0.054545455
21102,2017,AL,117,0.5607902736,11,0.01671732523,126,658,7,115,-0.393,0.402,1,4,AL,-0.097633585,2.764468488,3.11064734,0.40510106,0.003953573008,0.3846807406,5.395677965,0.39323279,2.071339563,3.077835833,35,"Congressional District 7 (116th Congress), Alabama",667654,0.13017923,0.21851438,0.15265991,0.22434375,0.63805652,0.33393046,0.031621169,0.091278911,0.0012925377,0.44833463,0.21424,0.48969999,0.029146833,Terri Sewell,(D),70.8,28.5,69.8,28.6,72.4,27.1,0.71299094,0.70934957,0.72763819,TERRI A SEWELL,229330,,,,,,,233028,TERRI SEWELL,185010,,,,,,,189163,TERRI A SEWELL,225742,,,,,,,232331,1,1,1,1,1,1,1,,,,0.9841306624,1,0,,,,,,,,1,,,,0.9780453894,1,0,,,,,,,,1,,,,0.9716396004,1,0,,,,,,,,1,0,1,0,1,0,1,0,1,1,1,0.50317681,0.018288612,1,0.71665955,-3.654243,0,1,0,0,0,0,0,0.20820668
21106,2017,AR,25,0.6269982238,13,0.02309058615,40,563,1,115,0.432,0.487,0,4,AR,0.10365853,3.869646271,3.27606452,0.82826215,0.01985645724,0.1103136459,4.629340028,0.26979044,3.40785849,3.59541981,35,"Congressional District 1 (116th Congress), Arkansas",721413,0.10945194,0.23208758,0.18073004,0.16843057,0.18346633,0.77699322,0.034881543,0.063509174,0.0028647354,0.45336837,0.23912001,0.46610001,0.018530302,Rick Crawford,(R),27.9,69.1,30.2,65,36.3,61,0.28762886,0.31722689,0.37307298,,,,,"ERIC A ""RICK"" CRAWFORD",183866,,,241047,CHINTAN DESAI,57907,,,RICK CRAWFORD,138757,,,201245,,,,,"ERIC A ""RICK"" CRAWFORD",237596,,,237596,0,1,0.29444638,0,0,1,,,,,,,,1,,,,0.7627807025,1,0,0,,,,0.2877437949,0,0,1,,,,0.6894929067,1,0,,,,,,,,1,,,,1,1,0,1,0,1,0,1,0,1,0,0,0.086698674,0,0.1006329,0.055846095,0,0.32597625,-2.1759775,0,1,0,0,0,0,0,0.09413854
21503,2017,AR,3,0.4,6,0.04615384615,2,130,2,115,0.444,0.25,0,2,AR,0.12736669,3.767601834,3.696387833,0.6569438,0.06070370396,0.2688506222,6.180852354,0.41490793,2.510374748,2.649711879,45,"Congressional District 2 (116th Congress), Arkansas",762623,0.18373676,0.23248971,0.1545849,0.14258422,0.24015929,0.71085715,0.052426953,0.045712747,0.0087362165,0.3870075,0.29069,0.4824,0.042543955,French Hill,(R),44.3,53.1,41.7,52.4,42.9,54.7,0.45482546,0.4431456,0.43954918,DIANNE CURRY,111347,,,J FRENCH HILL,176472,,,302464,CLARKE TUCKER,116135,,,FRENCH HILL,132125,,,253453,JOYCE ELLIOTT,148410,,,J FRENCH HILL,184093,,,332503,0.38686466,0,0.46779585,0,0.44634184,0,0,,,,0.3681330671,0,0,1,,,0.8454221049,0.5834479475,1,2,0,,,0.5781528852,0.4582111871,0,4,1,,,,0.5212998071,1,0,0,,,,0.4463418375,0,0,1,,,,0.5536581625,1,0,0.84542209,2,1,0,1,0,0.84542209,2,0.14966427,0.21883295,0.19922104,0.19637802,-0.0035964251,0.38686466,0.44584009,-0.33327577,0,1,0,0,0,0,0,0.061538462
